SKU;Tipo;Descripción;Unidad de Medida (Um);Ancho;Alto;Profundo;Stock Actual;Precio Directo;Precio Público;Imagen (URL);Modelo 3D (.glb / .obj);URL de Referencia / Ficha;PROVEEDOR
;Herrajes / Accesorios;Organizados de tapas extraible;;;;;;145000;166750;;;https://www.temu.com/co/organizador-de--y-sartenes-para-el--del-gabinete-organizador-de--deslizante-para-gabinete-organizador-extraible-para-gabinete-con-8-divisores-ajustables-g-601099659843519.html?_oak_name_id=502550662751900088&_oak_mp_inf=EL%2BvzN2m1ogBGiBhMTEyODZlOWU4MDM0ODBlOWVjODllZDdjMjAwOTBmZiCV%2Bvbx8zI%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2Fcf918457-6ef5-42e2-9070-2b820f73063e.jpg&spec_gallery_id=2394502496&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MTMwMjc3MDA&_oak_gallery_order=435916338%2C208133507%2C1505729956%2C1603224401%2C1236594192&search_key=organizador%20de%20ollas&refer_page_el_sn=200049&_x_sessn_id=gobggxweee&refer_page_name=search_result&refer_page_id=10009_1749095718578_a2cibeqzfw;
;Herrajes / Accesorios;Corredera de cajón full extención soft clip;juego;;;;;25000;28750;;;;
;Tableros / Maderas;Vidrio Bronce;metro lineal;;;;;190000;218500;;;;
;Herrajes / Accesorios;Corredera cajón push;juego;;;;;250000;287500;;;;
;Electrodomesticos / Gasodomesticos;Extractor Challenguer;unidad;;;;;220000;253000;;;;
;;Mesa comedor 80 * 180 cm Melamina;;;;;;1160000;1334000;;;;
;;Desmonte de carpinteria anterior y pintura interna de muros;;;;;;720000;828000;;;;
;Herrajes / Accesorios;Corredera cierre suave oculto TOIN;juego;;;;;50000;57500;;;;
;Herrajes / Accesorios;RB-01(S) 550mm CORREDERA EXT. 1.0 PLATEADA 55 75 Lbs;juego;;;;;32000;36800;;;;214b5567-ba71-80f5-ba39-e2167f5dd142
;Herrajes / Accesorios;Corredera cajón de aluminio Toin;juego;;;;;116000;133400;;;;
;Herrajes / Accesorios;Manija en madera;unidad;;;;;15000;17250;;;;
;Herrajes / Accesorios;Insumos de sellado y lacado;unidad;;;;;220000;253000;;;;
;Servicio;Servicio de reinstalación muebles;servicio;;;;;330000;379500;;;;
;;Lacas y barnices;;;;;;220000;253000;;;;
;Tableros / Maderas;Tablero pino;;;;;;580000;667000;;;;
;Servicio;Mecanizado figuras - CNC;metro cuadrado;;;;;120000;138000;;;;
;Servicio;Diseño figura 3D adaptada para CNC;servicio;;;;;60000;69000;;;;
;Herrajes / Accesorios;Brazo puerta sencilla DTC;unidad;;;;;55000;63250;https://prod-files-secure.s3.us-west-2.amazonaws.com/11c6e36e-49ae-43ee-8860-d92881ee129b/9bca9d3d-0b36-445e-9c46-d20976912620/Captura_de_pantalla_2025-07-23_070449.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=ASIAZI2LB4666AYSUGZL%2F20260421%2Fus-west-2%2Fs3%2Faws4_request&X-Amz-Date=20260421T231717Z&X-Amz-Expires=3600&X-Amz-Security-Token=IQoJb3JpZ2luX2VjEHQaCXVzLXdlc3QtMiJHMEUCIDgIAZ8LHiuo8yTpqjskG0IEf4xZJ34zpzqX7fzgxoNYAiEAnqfIY8%2Ba9i2UlDZrVqffcRvKQwejqkYKZYJFNasS6Bwq%2FwMIPRAAGgw2Mzc0MjMxODM4MDUiDKeYebL1hp4yV7SjPyrcA%2FmH%2BnE7vTn5Q3A4klgeXnFjCOK5NM7UmEVS6synsF8qbgww9NxQTseZ1NVFd3r9lq0aLSWyU3e%2BoZAfmJmbjIBDRWZUtGPn7KmmN6RCsKhx5jWE7rTYhNvKt1Q7XRFwACum59rHULE3HaMsPkrZx6dXnFmFLH%2B5K9j8GfKo%2B1f9NSTUEZvC9bcfMxDu%2BY%2FlEHS3xoBtZ77rXgsIfAzUdeSNooAzydgjVOSWUiCs5lxocsmvTvly6oOIePV4VN3gshI3Os%2B3DgilQps2FOg%2FCiIPieYOdnAX%2Fb1Y0utBT1DrgkHi6qoyCJ3OWtwbHLBcVvRDF6bYKHyLNMM3AEilbxV4ZsgeNAY4s8FP%2BnecjU8zr9IAvnIw%2BOtrR3Tw8dRonqpo7UH%2FLmJgStlt1kCxvXXgHZhcvvV99o%2F9TdglfFslZWPdA4iVqSKwpILt6lrnUUBfeMzWAqvfYqma1l9ePbi4gb8vd%2BcJRP0%2Bvq0pFtR3AF40VoTi6hx4bwdsA%2BT%2BnaBDzQ8ZHR2h%2BKi48K84HW6Nba%2BwtH0r4vDEXI0jYNh4HXQsH297%2B5RwhbqrgYsD6GasMQIrMEKqE2f8WDzbWtwHWku01dBEyM3aliEr1ZDEiiL7OrCddKXtBB8FMMOzn88GOqUBjm%2B06fzMGhKSDOGYzHH2MvUUv4KVBuGTqirWZlEATf9516LcB86zjxa0u913WxdzS0P%2F62T3Eh9Db6XZzYFGc%2Be12nPVDYyLPXgNVudbzpBSRAgy5QjmV5tCTGHpW3wxkYT8hXtZ1DL4KAYtWImvhEngp4OI%2FrJnCiDWiiFPMYrZbJnQGVns8CRIO%2BKMWkbL2mNtRYdY0oGSFllGEhV0LfMSQLWj&X-Amz-Signature=40b84aadd380b607dabfbd84ba8754a64d56fcd026ef0a05c7bd112c79a55c4e&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject;;;214b5567-ba71-80f5-ba39-e2167f5dd142, 1deb5567-ba71-80e2-a19a-d08379130f5e
;;Tornillos de ensamblaje;pack 100 un;;;;;;0;;;;
;;Fresa de refilado;;;;;;;0;;;;
;;Pegante Amarillo;Galon;;;;;;0;;;;
;Herrajes / Accesorios;Chapa de cajón;unidad;;;;;7000;8050;;;;
;Herrajes / Accesorios;Copero;unidad;;;;;23000;26450;;;;1c9b5567-ba71-809f-a999-ffcf96cf4957
;Modulos prefabricados;Muro decorativo;metro cuadrado;;;;;680000;782000;;;;1c9b5567-ba71-809f-a999-ffcf96cf4957
;Electrodomesticos / Gasodomesticos;Campana Horizontal Challenger negra 60 cm;unidad;;;;;220000;253000;https://challengerco.vteximg.com.br/arquivos/ids/155970-500-500/7705191029115_01.jpg?v=637369167217930000, https://challengerco.vteximg.com.br/arquivos/ids/158270-1000-1000/CX4000.jpg?v=638742730796930000;;https://www.challenger.com.co/campana-horizontal-negro-60-cm-2-velocidades-cx4000/p?idsku=72&gad_source=1&gad_campaignid=21382411424&gbraid=0AAAAABiFGHdwtfDo4oiTdy9H4gIurWjyZ&gclid=Cj0KCQjwss3DBhC3ARIsALdgYxOVcNJ0jb3P4yAyn6ZkTfwkogErlCABIKMLkPAYQg1FvYltnpEh2ckaAt36EALw_wcB;23eb5567-ba71-809d-ab8b-f48e940e8c85
;Herrajes / Accesorios;Blum Aventos HK top;juego;;;;;438000;503700;;;;21db5567-ba71-802e-9ff9-fd5689bb31a6
;Herrajes / Accesorios;Manija Plana cuadrada;unidad;;;;;6000;6900;;;;1deb5567-ba71-80e2-a19a-d08379130f5e
;Herrajes / Accesorios;Blum Aventos HF;juego;;;;;760000;874000;;;;21db5567-ba71-802e-9ff9-fd5689bb31a6
;Herrajes / Accesorios;Blum Aventos HK-XS;juego;;;;;255000;293250;https://prod-files-secure.s3.us-west-2.amazonaws.com/11c6e36e-49ae-43ee-8860-d92881ee129b/b84440e8-d679-49c5-b336-746861e6dc6f/Captura_de_pantalla_2025-07-14_110015.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=ASIAZI2LB4666AYSUGZL%2F20260421%2Fus-west-2%2Fs3%2Faws4_request&X-Amz-Date=20260421T231717Z&X-Amz-Expires=3600&X-Amz-Security-Token=IQoJb3JpZ2luX2VjEHQaCXVzLXdlc3QtMiJHMEUCIDgIAZ8LHiuo8yTpqjskG0IEf4xZJ34zpzqX7fzgxoNYAiEAnqfIY8%2Ba9i2UlDZrVqffcRvKQwejqkYKZYJFNasS6Bwq%2FwMIPRAAGgw2Mzc0MjMxODM4MDUiDKeYebL1hp4yV7SjPyrcA%2FmH%2BnE7vTn5Q3A4klgeXnFjCOK5NM7UmEVS6synsF8qbgww9NxQTseZ1NVFd3r9lq0aLSWyU3e%2BoZAfmJmbjIBDRWZUtGPn7KmmN6RCsKhx5jWE7rTYhNvKt1Q7XRFwACum59rHULE3HaMsPkrZx6dXnFmFLH%2B5K9j8GfKo%2B1f9NSTUEZvC9bcfMxDu%2BY%2FlEHS3xoBtZ77rXgsIfAzUdeSNooAzydgjVOSWUiCs5lxocsmvTvly6oOIePV4VN3gshI3Os%2B3DgilQps2FOg%2FCiIPieYOdnAX%2Fb1Y0utBT1DrgkHi6qoyCJ3OWtwbHLBcVvRDF6bYKHyLNMM3AEilbxV4ZsgeNAY4s8FP%2BnecjU8zr9IAvnIw%2BOtrR3Tw8dRonqpo7UH%2FLmJgStlt1kCxvXXgHZhcvvV99o%2F9TdglfFslZWPdA4iVqSKwpILt6lrnUUBfeMzWAqvfYqma1l9ePbi4gb8vd%2BcJRP0%2Bvq0pFtR3AF40VoTi6hx4bwdsA%2BT%2BnaBDzQ8ZHR2h%2BKi48K84HW6Nba%2BwtH0r4vDEXI0jYNh4HXQsH297%2B5RwhbqrgYsD6GasMQIrMEKqE2f8WDzbWtwHWku01dBEyM3aliEr1ZDEiiL7OrCddKXtBB8FMMOzn88GOqUBjm%2B06fzMGhKSDOGYzHH2MvUUv4KVBuGTqirWZlEATf9516LcB86zjxa0u913WxdzS0P%2F62T3Eh9Db6XZzYFGc%2Be12nPVDYyLPXgNVudbzpBSRAgy5QjmV5tCTGHpW3wxkYT8hXtZ1DL4KAYtWImvhEngp4OI%2FrJnCiDWiiFPMYrZbJnQGVns8CRIO%2BKMWkbL2mNtRYdY0oGSFllGEhV0LfMSQLWj&X-Amz-Signature=c3fb5aa3b8ae8a7a6f0c8d9d7d8586b50713d07854e529cd67bb227b321a4365&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject;;;21db5567-ba71-802e-9ff9-fd5689bb31a6
;;Lamparas barra;;;;;;;0;;;;
;Herrajes / Accesorios;Brazo puerta única grande DTC;juego;;;;;180000;207000;;;;1deb5567-ba71-80e2-a19a-d08379130f5e
;Herrajes / Accesorios;Push;unidad;;;;;6000;6900;;;;
;Servicio;Lacado de madera natural;m2;;;;;150000;172500;;;;
;Tableros / Maderas;Tablón Flor morado;Tablón;30 cm;;25 mm;;92000;105800;;;;
;Herrajes / Accesorios;Mini Basurero de empotrar en mesón;unidad;;;;;120000;138000;https://madecentro.com/cdn/shop/products/herrajes-basurera-meson-HSO535-00-madecentro_1024x720.jpg?v=1635462021;;;213b5567-ba71-808d-8dab-f7ed53295237
;Tableros / Maderas;Tablero acanalado;tablero;;;;;370000;425500;;;;213b5567-ba71-808d-8dab-f7ed53295237
;Herrajes / Accesorios;División de ducha en vidrio;unidad;;;;;560000;644000;;;;
;Herrajes / Accesorios;Brazo neumático alto peso;unidad;;;;;82000;94300;;;;
;Herrajes / Accesorios;Bisagra cuadrada;unidad;;;;;18000;20700;;;;1e5b5567-ba71-8161-ad56-d4758e9810d3
;Herrajes / Accesorios;lavaplatos Alta gama;unidad;;;;;950000;1092500;;;;
;Modulos prefabricados;Módulos de baño;unidad;;;;;390000;448500;;;;1c9b5567-ba71-809f-a999-ffcf96cf4957
;Servicio;Remodelación de techo;metro cuadrado;;;;;65000;74750;;;;1c9b5567-ba71-809f-a999-ffcf96cf4957
;Tableros / Maderas;Panel Alistonado wpc;metro cuadrado;;;;;160000;184000;;;;1c7b5567-ba71-80c4-a308-f5d34384d89e
;Tableros / Maderas;Entrepaño de madera;metro cuadrado;;;;;80000;92000;;;;
;280b5567-ba71-8029-b320-deb15d9b5cdc;División en drywall;unidad;;;;;1200000;1380000;;;;1c9b5567-ba71-809f-a999-ffcf96cf4957
;;Cambio de mezcladores;;;;;;;0;;;;
;Electrodomesticos / Gasodomesticos;Estufa eléctrica 4 puesto;unidad;60;;;;1100000;1265000;https://challengerco.vteximg.com.br/arquivos/ids/156209-1000-1000/7707061667274_1.jpg?v=637369168058030000;;;23eb5567-ba71-809d-ab8b-f48e940e8c85
;297b5567-ba71-8068-a4d4-f6c701fc9938;Grifería lavamanos;juego;;;;;90000;103500;;;;1c7b5567-ba71-80c4-a308-f5d34384d89e
;297b5567-ba71-8068-a4d4-f6c701fc9938;Kit Mezcladores + Ducha;juego;;;;;210000;241500;https://prod-files-secure.s3.us-west-2.amazonaws.com/11c6e36e-49ae-43ee-8860-d92881ee129b/c6cfb9c9-77c8-458e-a7cc-a5684a0e743a/shopping.webp?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=ASIAZI2LB466T7LA47CD%2F20260421%2Fus-west-2%2Fs3%2Faws4_request&X-Amz-Date=20260421T231718Z&X-Amz-Expires=3600&X-Amz-Security-Token=IQoJb3JpZ2luX2VjEHcaCXVzLXdlc3QtMiJIMEYCIQCMXsCnX%2FRQjBroN7%2BD5U%2BY6vme9qiTfwUHb9hf1dHAIQIhAImBWgsFnpA1WmQqI2vAqv0LTJwUMWQPaKazobwb0K17Kv8DCEAQABoMNjM3NDIzMTgzODA1IgzFX6jhYeqalc6FNZAq3ANxB2rVuLHKHTbFkWDj3dU%2BpZgBoIq5tpJRXjTGSSenE8LksNO4WbXAr9B7rQzDwJgknYek0VyYgdOMux20pMUw%2BZGw6PRYoMFmn5HIcbCRTgaFoBqlCySVf3YGbHo2yWam1%2F8FOW0xTkM8BQf9t4C5F8g8HfZS%2FrhqSx9%2FTCEvg5vSgbg4sZ747O2z1zmslkh04hyQZrZSH7er%2BENKlrH%2F4ammY1b0clMchlkbBgzZ0uS0x%2BDzUDutmaXTRZvQSyiK%2BBtJf5sdYdI13FdjpsgtCD2mM1biwMiMASvhwkFblXBP99E5QC6RAgXPcY7A%2FSDOAlnj7R6DK8M0cHnn0hMgadYI5%2B1vNeUVUgxDAkqoBrAUu%2F8FkDRRIVTNNLB6wqxL%2FoZQJY%2B3MbikqzNb23B94CjfImso%2FcXJhZ3yZ%2FvAOd1mIFzJF4t0%2FSE4nX3IZ7WFYWPnBrQ3Vz%2FKMSt5siTh%2B42DiIaOxYQwX5OdwOBXFiPELa1pdQMNE%2BR1O9o4RpMBZ0PSvERHArVa%2FZp6j4TQjA9L8%2FSYz%2B7BrYT2IOSzMgReIsbHstJGETE2ypSLx0UfMZfO82tV1fb43jZ2h6FvEtYRXonIKjPStWWmDPSW90JsZxXw7jbrsYR9GjC%2BiqDPBjqkAZNjq5OCPnhC%2F6x8jFUhWPYXBx%2FvStqNIm8gKjuKs9uNvLjFcbzAaiMzQwDLupxSjbML6oYrLrkHDuoGQPetTviIUAmCFNEoRuUYlwMdHBJdVMlXellprBmWIZH0fkLlvLL6oupSpsKazsKcDe8SV5nW7z8THnwoKqXtBEsooAkbtzTaHQySrovEP1ZVFLJmUTWW2H5bV5UyeTYTlTB3eWfyMybI&X-Amz-Signature=098a3c476779096d36768dd5d8ed489636fa7c2b019cf8ae014b055f6ed580aa&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject;;;1c7b5567-ba71-80c4-a308-f5d34384d89e
;280b5567-ba71-8029-b320-deb15d9b5cdc;Cambio de ventana;unidad;;;;;480000;552000;;;;
;Herrajes / Accesorios;Accesorios de armado y montaje;metro cuadrado;;;;;37000;42550;;;;
;Herrajes / Accesorios;Herraje zapatero 45°;juego;;;;;45000;51750;;;;
;;;;;;;;;0;;;;
;Herrajes / Accesorios;Cava en madera natural;unidad;;;;;90000;103500;;;;1c9b5567-ba71-809f-a999-ffcf96cf4957
;227b5567-ba71-80ae-a328-c14f71af6ffb;Fuente de Alimentación LED inteligente;unidad;;;;;42000;48300;;;;
;Herrajes / Accesorios;Canasta bajo fregadero gris antracita cierre lento para módulo de 35;unidad;;;;;297000;341550;;;;213b5567-ba71-808d-8dab-f7ed53295237
;227b5567-ba71-80ae-a328-c14f71af6ffb;tomacorriente de seguridad;unidad;;;;;35000;40250;;;;
;Herrajes / Accesorios;Escalera plegable;unidad;;;;;450000;517500;;;;1c9b5567-ba71-809f-a999-ffcf96cf4957
;Servicio;Servicios de obra civil;servicio;;;;;;0;;;;
;;Descuento;servicio;;;;;;0;;;;1c9b5567-ba71-809f-a999-ffcf96cf4957
;;Brazo Cama Escritorio;unidad;;;;;1780000;2047000;;;;
;;Salpicadero en granito;metro lineal;;;;;650000;747500;;;;
;;mt2 pintura poliretano;metro cuadrado;;;;;290000;333500;;;;
;;Sistema robótico Ntdo Switch MD;unidad;;;;;1800000;2070000;;;;
;Tableros / Maderas;Tornillo de 5 /8 x 8 (bisagra);;;;;;;0;;;;
;297b5567-ba71-8068-a4d4-f6c701fc9938;lavaplatos inteligente;unidad;;;;;1350000;1552500;;;;
;;Zócalo aluminio negro;Perfil;;;;;92000;105800;;;;
;;MDF AGLO - MCOL 18mm;;;;;;650000;747500;;;;
;;Tablero triplex 6mm;tablero;;;;;150000;172500;;;;
;;Cojín tipo puff;metro lineal;;;;;150000;172500;;;;
;;Insumos de instalación;metro cuadrado;;;;;16000;18400;;;;1c9b5567-ba71-809f-a999-ffcf96cf4957
;;Tolva formato rejilla;;;;;;55000;63250;;;;
;;Superficie en chapilla;;;;;;350000;402500;;;;
;227b5567-ba71-8056-8e1b-d9c6778eae86, 227b5567-ba71-80f5-bd36-ec0f1e80d50f, Modulos prefabricados;Puerta de vidrio humo oscuro;unidad;;;;;95000;109250;;;;
;Herrajes / Accesorios;Manija pestaña;unidad;;;;;7800;8970;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
